znak;znakRank;komb;je OK;ni OK
E501;100;0069+0324+0300;;x
E502;1;00EC+0325;;X
E502;100;0069+0325+0300;X;
E503;1;012F+0300;;X
E503;100;0069+0328+0300;X;
E504;1;00EC+0339;;X
E504;100;0069+0339+0300;;X
E505;1;00EC+0337;;X
E505;100;0069+0337+0300;;X
E506;1;1ECB+0301;;X
E506;100;0069+0323+0301;;X
E507;1;00ED+0324;;X
E507;100;0069+0324+0301;;X
E508;1;012F+0301;;X
E508;100;0069+0328+0301;;X
E509;1;00ED+0339;;X
E509;100;0069+0339+0301;;x
E50A;1;00ED+0337;;X
E50A;100;0069+0337+0301;;X
E50B;1;00EE+0301;;X
E50B;100;0069+0302+0301;;X
E50C;1;1ECB+0302;;x
E50C;100;0069+0323+0302;;X
E50D;1;0129+0300;;X
E50D;100;0069+0303+0300;;X
E50E;1;0129+0301;;x
E50E;100;0069+0303+0301;;X
E50F;1;012F+0303;;X
E50F;100;0069+0328+0303;;X
E510;1;0129+032F;X;
E510;100;0069+032F+0303;;x
E511;1;012B+0300;;x
E511;100;0069+0304+0300;;X
E512;1;012B+0301;;X
E512;100;0069+0304+0301;;X
E513;1;012B+0306;;X
E513;100;0069+0304+0306;;X
E515;1;012B+0339;;x
E515;100;0069+0339+0304;;X
E516;1;00EF+0300;;x
E516;100;0069+0308+0300;;X
E517;1;00EF+0306;;X
E517;100;0069+0308+0306;;x
E518;1;00EF+030F;;X
E518;100;0069+0308+030F;;X
E519;1;00EF+0311;;X
E519;100;0069+0308+0311;;x
E51A;1;0069+030B;;x
E51B;1;0069+030D;;X
E51C;1;0209+0311;;x
E51C;100;0069+030F+0311;;x
E51D;1;0209+0324;X;
E51D;100;0069+0324+030F;;X
E51E;1;0209+0325;;x
E51E;100;0069+0325+030F;;x
E51F;1;012F+030F;X;
E51F;100;0069+0328+030F;;X
E520;1;0209+0339;X;
E520;100;0069+0339+030F;;x
E521;1;0209+0337;;X
E521;100;0069+0337+030F;;X
E522;1;020B+0302;;X
E522;100;0069+0311+0302;;X
E523;1;1ECB+0311;;X
E523;100;0069+0323+0311;;x
E524;1;020B+0324;X;
E524;100;0069+0324+0311;X;
E525;1;020B+0339;;x
E525;100;0069+0339+0311;;x
E526;1;020B+0337;;x
E526;100;0069+0337+0311;;X
E529;1;0069+0324;X;
E52A;1;0069+0325;;X
E52B;1;0069+0326;;X
E52C;1;012F+0337;;X
E52C;100;0069+0337+0328;;X
E52D;1;0069+032D;;X
E52E;1;0069+032E;;x
E52F;1;0069+032F;;
E530;1;0069+032F+0330;;X
E531;1;0069+0331;;X
E532;1;0069+0339;;X
E533;1;0069+0337;;x
E534;1;0131+0323;;X
E535;1;026A+0300;X;
E536;1;026A+0301;;X
E537;1;1D09+0304;;x
E538;1;0069+0310;;X
E539;1;0209+032F;;x
E539;100;0069+032F+030F;;x
E53A;1;0069+032C;;x
E53B;1;00EC+0335;x;
E53B;100;0069+0335+0300;X;
E53C;1;00ED+0335;x;
E53C;100;0069+0335+0301;;X
E53D;1;00EC+031E;;X
E53D;100;0069+031E+0300;;X
E53E;1;00ED+031E;;X
E53E;100;0069+031E+0301;;X
E53F;1;0069+031E;;X
E540;1;012D+030D;;X
E540;100;0069+0306+030D;;X
E541;1;1E2D+0300;;X
E541;100;0069+0330+0300;;x
E542;1;1E2D+0301;;X
E542;100;0069+0330+0301;;x
E543;1;0069+032F+0325;;X
E544;1;026A+0330;;X
E545;1;1E2D+0303+0300;;x
E545;100;0069+0330+0303+0300;;X
E546;1;1E2D+0303+0301;;X
E546;100;0069+0330+0303+0301;;x
E547;1;1E2D+0303;;X
E547;100;0069+0330+0303;X;
E548;1;1E2D+032F;X;
E548;100;0069+0330+032F;;X
E549;1;020B+032F;;X
E549;100;0069+032F+0311;;x
E54A;1;0069+0364;;X
E54B;1;012F+0304+0301;;x
E54B;100;0069+0328+0304+0301;;x
E54C;1;012B+1DC4;;X
E54C;100;0069+0304+1DC4;;x
E54D;1;012F+0306;;X
E54D;100;0069+0328+0306;;X
E550;1;0069+1DC5;;
E551;1;0069+1DC4;X;
E552;1;012F+1DC4;;X
E552;100;0069+0328+1DC4;;X
E554;1;0069+0335+0355;;x
E555;1;012D+0301;;x
E555;100;0069+0306+0301;;x
E556;1;012D+0300;;X
E556;100;0069+0306+0300;;X
E557;1;00ED+032F;;x
E557;100;0069+032F+0301;;x
E558;1;00ED+0325;;x
E558;100;0069+0325+0301;;x
E559;1;0069+0354;X;
E55A;1;0069+0355;;X
E55B;1;012B+0303;;x
E55B;100;0069+0304+0303;;X
E55C;1;1ECB+030F;;x
E55C;100;0069+0323+030F;;X
E55D;1;020B+0325;;X
E55D;100;0069+0325+0311;;X
E55E;1;012B+030C;;X
E55E;100;0069+0304+030C;;X
E55F;1;012B+0311;;x
E55F;100;0069+0304+0311;;X
E560;1;012F+0304+0311;X;
E560;100;0069+0328+0304+0311;;X
E561;1;012B+0302;;X
E561;100;0069+0304+0302;;X
E562;1;0131+032F;;x
E563;1;012F+0325;;
E563;100;0069+0328+0325;X;
E564;1;0129+032D;;X
E564;100;0069+032D+0303;X;
E565;1;00ED+0331;;X
E565;100;0069+0331+0301;;X
E566;1;012B+1DC5;;X
E566;100;0069+0304+1DC5;;X
E567;1;012B+0324;;x
E567;100;0069+0324+0304;;x
E568;1;1ECB+0303;;X
E568;100;0069+0323+0303;;x
E569;1;0131+0328;X;
E56A;1;0129+0335;X;
E56A;100;0069+0335+0303;;x
E56D;1;0069+0307+0301;;X
E56E;1;00EF+0304+0301;;x
E56E;100;0069+0308+0304+0301;;x
E56F;1;012B+0307;;X
E56F;100;0069+0304+0307;;X
E570;1;0069+030A;;X
E573;1;00EF+032E;;x
E573;100;0069+032E+0308;;X
E574;1;012F+0308;;X
E574;100;0069+0328+0308;;X
E575;1;012F+0302;;X
E575;100;0069+0328+0302;;x
E576;1;0129+032E;X;
E576;100;0069+032E+0303;;X
E577;1;1E2D+0304;;X
E577;100;0069+0330+0304;;X
E578;1;026A+0306;;x
E579;1;1E2D+0302;;X
E579;100;0069+0330+0302;;X
E57C;1;00EC+0331;;X
E57C;100;0069+0331+0300;;X
E57D;1;00EF+0303;;X
E57D;100;0069+0308+0303;;X
E57E;1;00EF+030D;;X
E57E;100;0069+0308+030D;;X
E57F;1;0129+0339;;x
E57F;100;0069+0339+0303;;X
E581;1;0069+0339+030D;;x
E583;1;012F+030D;;X
E583;100;0069+0328+030D;;x
E584;1;012F+0304;X;
E584;100;0069+0328+0304;;x
E586;1;0069+032F+030D;;X
E587;1;00EC+032F;X;
E587;100;0069+032F+0300;;X
E588;1;012B+032F;X;
E588;100;0069+032F+0304;;X
E589;1;012D+032F;;x
E589;100;0069+032F+0306;;X
E58A;1;020B+0301;;X
E58A;100;0069+0311+0301;;x
E58B;1;0209+032F+0311;;X
E58B;100;0069+032F+030F+0311;;X
E58C;1;0069+20EF;;X
E58D;1;012F+0311;;x
E58D;100;0069+0328+0311;;X
E58E;1;00EE+0339;;x
E58E;100;0069+0339+0302;;x
E58E;101;006F+0303+0311;;X
E58E;2;00F5+0311;;X
E58F;1;020B+0339+030F;X;
E58F;100;0069+0339+0311+030F;;x
E590;1;0069+0317;X;
E591;1;012B+032F+0306;;X
E591;100;0069+032F+0304+0306;;x
E592;1;0131+0325;;x
E593;1;0069+0335+0324;;X
E594;1;012D+0306;;X
E594;100;0069+0306+0306;;X
E595;1;01D0+030C;;X
E595;100;0069+030C+030C;;X
E596;1;0069+0313;;x
E597;1;020B+0335;X;
E597;100;0069+0335+0311;;x
E598;1;0129+0311;;X
E598;100;0069+0303+0311;;X
E599;1;0069+0337+0355;X;
E59A;1;1ECB+0304;;x
E59A;100;0069+0323+0304;;x
E59B;1;00ED+0303;;X
E59B;100;0069+0301+0303;;X
E5D0;1;0128+032F;;X
E5D0;100;0049+032F+0303;;X
E5D1;1;020A+032F;;X
E5D1;100;0049+032F+0311;;x
E5D2;1;0049+032F+030D;;X
E5D3;1;0208+032F;;X
E5D3;100;0049+032F+030F;;X
E5D4;1;00CC+032F;;x
E5D4;100;0049+032F+0300;;X
E5D5;1;012A+032F;X;
E5D5;100;0049+032F+0304;;X
E5D6;1;012C+032F;X;
E5D6;100;0049+032F+0306;;X
E5D7;1;00CD+0335;;x
E5D7;100;0049+0335+0301;;X
E5D8;1;00CC+0335;X;
E5D8;100;0049+0335+0300;;X
E5E0;1;00CC+0337;;X
E5E0;100;0049+0337+0300;;X
E5E1;1;00CD+0337;;X
E5E1;100;0049+0337+0301;;X
E5E2;1;012E+0303;;X
E5E2;100;0049+0328+0303;;X
E5E3;1;0049+032F;X;
E5E4;1;0049+0337;;x
E5E5;1;00CD+0324;x;
E5E5;100;0049+0324+0301;;X
E5E6;1;0049+0324;;x
E5E7;1;0049+030D;;X
E5E8;1;1ECA+0303;;X
E5E8;100;0049+0323+0303;;x
E5E9;1;1ECA+0311;;x
E5E9;100;0049+0323+0311;;x
E5EA;1;1ECA+0304;;X
E5EA;100;0049+0323+0304;;X
E5EB;1;012A+0300;X;
E5EB;100;0049+0304+0300;;X
E5EC;1;012A+0301;;X
E5EC;100;0049+0304+0301;;X
E5ED;1;1ECA+0301;;x
E5ED;100;0049+0323+0301;;X
E5EE;1;012A+0303;;x
E5EE;100;0049+0304+0303;;X
E5EF;1;0049+0363;;x
E5F0;1;0049+0325;;x
E5F1;1;0049+0339;X;
E5F2;1;0128+0339;X;
E5F2;100;0049+0339+0303;;X
E5F3;1;020A+0339;;X
E5F3;100;0049+0339+0311;;X
E5F4;1;0049+0339+030D;;X
E5F5;1;0208+0339;X;
E5F5;100;0049+0339+030F;;X
E5F6;1;00CC+0339;;x
E5F6;100;0049+0339+0300;;X
E5F7;1;00CD+0339;X;
E5F7;100;0049+0339+0301;;X
E5F8;1;012A+0339;X;
E5F8;100;0049+0339+0304;;x
E5F9;1;012C+0339;X;
E5F9;100;0049+0339+0306;;X
E5FA;1;012E+0311;X;
E5FA;100;0049+0328+0311;;x
E5FB;1;012E+030D;;X
E5FB;100;0049+0328+030D;;x
E5FC;1;012E+0300;;X
E5FC;100;0049+0328+0300;;x
E5FD;1;012E+0301;;X
E5FD;100;0049+0328+0301;;X
E5FE;1;012E+0304;;X
E5FE;100;0049+0328+0304;;X
E5FF;1;012E+0306;;X
E5FF;100;0049+0328+0306;;X
E600;1;1ECD+0300;;x
E600;100;006F+0323+0300;;x
E601;1;1ECD+0337+0300;X;
E601;100;006F+0337+0323+0300;;x
E602;1;00F2+0324;X;
E602;100;006F+0324+0300;;X
E603;1;00F2+0325;;x
E603;100;006F+0325+0300;;x
E604;1;01EB+0300;;X
E604;100;006F+0328+0300;X;
E605;1;00F2+032D;x;
E605;100;006F+032D+0300;;x
E606;1;00F2+0339;X;
E606;100;006F+0339+0300;X;
E607;1;00F2+0337;;x
E607;100;006F+0337+0300;X;
E608;1;1ECD+0301;X;
E608;100;006F+0323+0301;;x
E609;1;1ECD+0337+0301;X;
E609;100;006F+0337+0323+0301;X;
E60A;1;00F3+0324;X;
E60A;100;006F+0324+0301;X;
E60B;1;01EB+0301;x;
E60B;100;006F+0328+0301;X;
E60C;1;00F3+032D;X;
E60C;100;006F+032D+0301;X;
E60D;1;00F3+032F;X;
E60D;100;006F+032F+0301;x;
E60E;1;00F3+0339;x;
E60E;100;006F+0339+0301;x;
E60F;1;00F5+0300;;X
E60F;100;006F+0303+0300;;x
E610;1;1ECD+0303;X;
E610;100;006F+0323+0303;;X
E611;1;01EB+0323+0303;;X
E611;100;006F+0328+0323+0303;X;
E612;1;01EB+0303;X;
E612;100;006F+0328+0303;X;
E613;1;00F5+0339;x;
E613;100;006F+0339+0303;X;
E614;1;00F5+0337;;x
E614;100;006F+0337+0303;X;
E615;1;00F5+20E5;;x
E615;100;006F+20E5+0303;;X
E616;1;014D+0306;;X
E616;100;006F+0304+0306;;x
E617;1;1ECD+0304;;x
E617;100;006F+0323+0304;X;
E618;1;014D+032D;;
E618;100;006F+032D+0304;X;
E619;1;014D+0339;X;
E619;100;006F+0339+0304;X;
E61A;1;014D+0337;;x
E61A;100;006F+0337+0304;X;
E61B;1;1ECD+0306;;x
E61B;100;006F+0323+0306;X;
E61C;1;01EB+0306;X;
E61C;100;006F+0328+0306;X;
E61D;1;022F+0300;;x
E61D;100;006F+0307+0300;;x
E61E;1;022F+032F+0300;;X
E61E;100;006F+032F+0307+0300;;X
E61F;1;022F+0301;;x
E61F;100;006F+0307+0301;;X
E620;1;022F+030F;;X
E620;100;006F+0307+030F;;x
E621;1;006F+0352;X;
E622;1;1ECD+0307;X;
E622;100;006F+0323+0307;X;
E623;1;01EB+0307;X;
E623;100;006F+0328+0307;X;
E624;1;022F+032F;;X
E624;100;006F+032F+0307;X;
E625;1;022F+0339;X;
E625;100;006F+0339+0307;;x
E626;1;022F+0337;X;
E626;100;006F+0337+0307;X;
E627;1;022F+20E5;;X
E627;100;006F+20E5+0307;X;
E628;1;00F6+0300;;X
E628;100;006F+0308+0300;;X
E629;1;00F6+0301;;X
E629;100;006F+0308+0301;;X
E62A;1;00F6+0302;;x
E62A;100;006F+0308+0302;;x
E62B;1;00F6+030F;;X
E62B;100;006F+0308+030F;;X
E62C;1;1ECD+0308+030F;;X
E62C;100;006F+0323+0308+030F;;x
E62D;1;00F6+0311;;X
E62D;100;006F+0308+0311;;x
E62E;1;1ECD+0308;X;
E62E;100;006F+0323+0308;;X
E62F;1;00F6+032F;X;
E62F;100;006F+032F+0308;X;
E630;1;01EB+030B;X;
E630;100;006F+0328+030B;X;
E631;1;01D2+0304+0301;;X
E631;100;006F+030C+0304+0301;;X
E632;1;006F+030D;X;
E633;1;1ECD+030D;x;
E633;100;006F+0323+030D;X;
E634;1;01EB+030D;X;
E634;100;006F+0328+030D;X;
E635;1;1ECD+030F;;x
E635;100;006F+0323+030F;X;
E636;1;020D+0324;X;
E636;100;006F+0324+030F;;x
E637;1;020D+0325;X;
E637;1;020D+0325;X;
E637;100;006F+0325+030F;X;
E638;1;01EB+030F;X;
E638;100;006F+0328+030F;;x
E639;1;020D+032D;X;
E639;100;006F+032D+030F;X;
E63A;1;020D+032F;x;
E63A;100;006F+032F+030F;X;
E63B;1;020D+0339;X;
E63B;100;006F+0339+030F;X;
E63C;1;020D+0337;;x
E63C;100;006F+0337+030F;X;
E63D;1;1ECD+0311+0303;;x
E63D;100;006F+0323+0311+0303;;x
E63E;1;1ECD+0311;;x
E63E;100;006F+0323+0311;;x
E63F;1;020F+0324;X;
E63F;100;006F+0324+0311;X;
E640;1;020F+0325;;X
E640;100;006F+0325+0311;X;
E641;1;01EB+0311;X;
E641;100;006F+0328+0311;;x
E642;1;020F+032D;;X
E642;100;006F+032D+0311;X;
E643;1;020F+032F;X;
E643;1;020F+032F;X;
E643;100;006F+032F+0311;X;
E644;1;020F+0339;X;
E644;100;006F+0339+0311;;x
E645;1;020F+0337;X;
E645;100;006F+0337+0311;X;
E646;1;006F+0364;;X
E64C;1;006F+20D6;X;
E64D;1;01EB+0323;;x
E64D;100;006F+0328+0323;;X
E64E;1;1ECD+0337;X;
E64E;100;006F+0337+0323;;x
E64F;1;006F+0324;X;
E650;1;006F+0325;x;
E651;1;006F+032C;;X
E652;1;006F+032D;X;
E653;1;006F+032F;X;
E654;1;006F+0331;X;
E655;1;006F+0339;X;
E656;1;0254+0300;X;
E657;1;0254+0301;X;
E658;1;0254+0328+0301;X;
E659;1;0254+0303;X;
E65A;1;0254+0303+0300;;X
E65B;1;0254+0303+0301;;X
E65C;1;0254+030F;;x
E65D;1;0254+0311;;x
E65E;1;0254+0328;X;
E65F;1;0277+0300;;x
E660;1;0277+0301;;X
E661;1;0277+0302;;X
E662;1;0277+0304;;x
E663;1;0277+0304+0300;;X
E664;1;0277+0304+0301;;X
E665;1;0277+0306;;X
E66C;1;0153+0300;;X
E66D;1;0153+0301;X;
E66E;1;0153+0302;;x
E66F;1;0153+0304;;x
E670;1;0153+0304+0301;;x
E671;1;0153+0306;X;
E674;1;01D2+0304+0300;;X
E674;100;006F+030C+0304+0300;;x
E675;1;006F+031E;;x
E676;1;006F+032E;X;
E677;1;00F2+031E;X;
E677;100;006F+031E+0300;X;
E679;1;0254+0304;X;
E67B;1;00F2+031D;X;
E67B;100;006F+031D+0300;;X
E67C;1;00F3+031D;x;
E67C;100;006F+031D+0301;X;
E67D;1;00F3+031E;X;
E67D;100;006F+031E+0301;;x
E67E;1;006F+031D;x;
E67F;1;00F5+031E+0300;;x
E67F;100;006F+031E+0303+0300;;X
E680;1;1E4D+031E;X;
E680;100;006F+031E+0303+0301;;X
E681;1;00F5+031E;x;
E681;100;006F+031E+0303;x;
E682;1;014F+030D;;x
E682;100;006F+0306+030D;;X
E683;1;0254+0330+0300;;x
E684;1;0254+0330+0301;X;
E685;1;0254+0330;X;
E686;1;00F2+0330;X;
E686;100;006F+0330+0300;X;
E687;1;00F3+0330;X;
E687;100;006F+0330+0301;X;
E688;1;006F+0330;X;
E689;1;0254+0325;x;
E68A;1;00F5+0330+0300;;x
E68A;100;006F+0330+0303+0300;;x
E68B;1;1E4D+0330;x;
E68B;100;006F+0330+0303+0301;;X
E68C;1;00F5+0330;x;
E68C;100;006F+0330+0303;X;
E68D;1;0254+0330+0303+0300;;x
E68E;1;0254+0330+0303+0301;;x
E68F;1;0254+0330+0303;X;
E690;1;006F+0366;;X
E691;1;006F+036E;;x
E692;1;0153+0328;X;
E693;1;0254+0335;;x
E694;1;01ED+0301;;X
E694;100;006F+0328+0304+0301;;x
E695;1;014D+1DC4;;X
E695;100;006F+0304+1DC4;;x
E696;1;014D+1DC6;;x
E696;100;006F+0304+1DC6;;X
E697;1;014F+0301;;x
E697;100;006F+0306+0301;;X
E698;1;0231+0301;;x
E698;100;006F+0307+0304+0301;;X
E699;1;006F+1DC5;;x
E69A;1;006F+1DC4;;x
E6A0;1;0153+0328+0300;;X
E6A1;1;0153+0328+0301;;X
E6A2;1;0153+0304+0300;;X
E6A3;1;0153+0328+0304+0301;;x
E6A4;1;0153+1DC4;;X
E6A5;1;006F+20D2;;x
E6A6;1;0153+0308+0306;;x
E6A7;1;1E51+0337;;x
E6A7;100;006F+0337+0304+0300;X;
E6A8;1;1E51+032D;X;
E6A8;100;006F+032D+0304+0300;;x
E6A9;1;1E53+032D;;x
E6A9;100;006F+032D+0304+0301;;X
E6AB;1;00F3+0329;X;
E6AB;100;006F+0329+0301;X;
E6AC;1;006F+032F+0323;;X
E6AD;1;014F+0339;x;
E6AD;100;006F+0339+0306;X;
E6AE;1;01EB+0323+0301;;x
E6AE;100;006F+0328+0323+0301;X;
E6AF;1;01EB+0339+0301;;x
E6AF;100;006F+0328+0339+0301;;x
E6B0;1;01EB+0339+0303;;x
E6B0;100;006F+0328+0339+0303;;X
E6B1;1;0153+0307+0306;;X
E6B2;1;0153+0303;;x
E6B3;1;0254+0328+0300;;x
E6B4;1;0254+0306;x;
E6B5;1;01EB+0339;X;
E6B5;100;006F+0328+0339;;X
E6B6;1;01ED+0339;;X
E6B6;100;006F+0328+0339+0304;;X
E6B7;1;0254+032F;X;
E6B8;1;01EB+0339+0300;;X
E6B8;100;006F+0328+0339+0300;;X
E6B9;1;01EB+0323+0300;;x
E6B9;100;006F+0328+0323+0300;;x
E6BA;1;01ED+0300;;x
E6BA;100;006F+0328+0304+0300;;x
E6BB;1;0153+0306+0300;;X
E6BC;1;014D+0303;;x
E6BC;100;006F+0304+0303;;X
E6C0;1;1ECD+0308+0311;;X
E6C0;100;006F+0323+0308+0311;;x
E6C1;1;006F+0329;;x
E6C2;1;01EB+0302;X;
E6C2;100;006F+0328+0302;;x
E6C3;1;01ED+0311;;X
E6C3;100;006F+0328+0304+0311;;X
E6C4;1;014D+0307;;x
E6C4;100;006F+0304+0307;;x
E6C5;1;00F6+0331;X;
E6C5;100;006F+0331+0308;X;
E6C6;1;00F6+0324;X;
E6C6;100;006F+0324+0308;X;
E6C7;1;00F6+0303;;x
E6C7;100;006F+0308+0303;;X
E6C8;1;020D+0311;;X
E6C8;100;006F+030F+0311;;X
E6C9;1;020D+0324+0311;;X
E6C9;100;006F+0324+030F+0311;;x
E6CA;1;006F+20E5;;x
E6CC;1;014D+030C;;X
E6CC;100;006F+0304+030C;;X
E6CD;1;01EB+030C;X;
E6CD;100;006F+0328+030C;;x
E6CE;1;1ECD+030C;X;
E6CE;100;006F+0323+030C;;X
E6CF;1;01EB+0307+0304;;X
E6CF;100;006F+0328+0307+0304;;x
E6D0;1;01ED+0303;;X
E6D0;100;006F+0328+0304+0303;;x
E6D1;1;1ECD+0304+0301;;x
E6D1;100;006F+0323+0304+0301;;x
E6D2;1;00F6+030C;;x
E6D2;100;006F+0308+030C;;X
E6D3;1;022B+0301;;X
E6D3;100;006F+0308+0304+0301;;x
E6D4;1;01EB+0308;X;
E6D4;100;006F+0328+0308;X;
E6D5;1;01EB+0308+0304;;X
E6D5;100;006F+0328+0308+0304;;X
E6D6;1;01EB+0308+0301;;X
E6D6;100;006F+0328+0308+0301;;X
E6D7;1;01EB+0308+0303;;X
E6D7;100;006F+0328+0308+0303;;X
E6D8;1;1ECD+0308+0301;;x
E6D8;100;006F+0323+0308+0301;;x
E6D9;1;006F+0313;x;
E6DA;1;006F+030A+0311;;x
E6DB;1;014D+0302;;x
E6DB;100;006F+0304+0302;;X
E6DC;1;014D+0311;X;
E6DC;100;006F+0304+0311;;X
E6DD;1;1E51+0339;X;
E6DD;100;006F+0339+0304+0300;;X
E6DE;1;1E53+0339;X;
E6DE;100;006F+0339+0304+0301;;X
E6DF;1;014D+0339+0303;;x
E6DF;100;006F+0339+0304+0303;X;
E6E0;1;014C+032C;;X
E6E0;100;004F+032C+0304;;X
E6E1;1;00D6+0301;;x
E6E1;100;004F+0308+0301;;X
E6E2;1;1ECC+0311;;X
E6E2;100;004F+0323+0311;;X
E6E3;1;004F+0364;;x
E6E4;1;004F+0325;;X
E6E5;1;004F+032C;;x
E6E6;1;004F+20E5;;X
E6E7;1;1ECC+0300;;X
E6E7;100;004F+0323+0300;;x
E6E8;1;004F+036E;;x
E6EA;1;00D3+0324;;X
E6EA;100;004F+0324+0301;;X
E6EB;1;004F+0324;;X
E6EC;1;1ECC+0301;;X
E6EC;100;004F+0323+0301;;X
E6ED;1;00D6+0324;;X
E6ED;100;004F+0324+0308;;X
E6EE;1;004F+0365;;X
E6EF;1;004F+0367;;X
E6F0;1;00D6+0302;;x
E6F0;100;004F+0308+0302;;X
E6F1;1;00D6+030C;;X
E6F1;100;004F+0308+030C;;X
E6F2;1;004F+030D;;X
E6F3;1;004F+032D;;X
E6F4;1;022E+0302;;x
E6F4;100;004F+0307+0302;;X
E6F5;1;014C+0303;;X
E6F5;100;004F+0304+0303;;x
E6F6;1;1ECC+0303;;X
E6F6;100;004F+0323+0303;;x
E6F7;1;1ECC+0337;;X
E6F7;100;004F+0337+0323;;X
E6F8;1;00D5+0337;;x
E6F8;100;004F+0337+0303;;X
E6F9;1;0152+0303;;x
E6FA;1;0152+0323+0303;;X
E6FB;1;0152+0311;;X
E6FC;1;01EA+0302;;X
E6FC;100;004F+0328+0302;;X
E6FD;1;004F+032F;;x
E6FE;1;00D5+0339;;X
E6FE;100;004F+0339+0303;;x
E6FF;1;00D2+0339;;x
E6FF;100;004F+0339+0300;;x
E700;1;1E73+0300;X;
E700;100;0075+0324+0300;;X
E701;1;0173+0300;X;
E701;100;0075+0328+0300;X;
E702;1;00F9+032F;X;
E702;100;0075+032F+0300;X;
E703;1;00F9+0339;x;
E703;100;0075+0339+0300;;X
E704;1;00F9+0337;X;
E704;100;0075+0337+0300;X;
E705;1;1EE5+0301;;X
E705;100;0075+0323+0301;x;
E706;1;1E73+0301;x;
E706;100;0075+0324+0301;X;
E707;1;0173+0301;X;
E707;100;0075+0328+0301;;X
E708;1;00FA+032F;x;
E708;100;0075+032F+0301;;x
E709;1;00FA+0339;x;
E709;100;0075+0339+0301;;X
E70A;1;00FA+0337;;X
E70A;100;0075+0337+0301;;X
E70B;1;1EE5+0302;;x
E70B;100;0075+0323+0302;X;
E70C;1;00FB+032F;X;
E70C;100;0075+032F+0302;X;
E70D;1;0169+0300;;x
E70D;100;0075+0303+0300;;X
E70E;1;0173+0303;X;
E70E;100;0075+0328+0303;X;
E70F;1;016B+0300;;X
E70F;100;0075+0304+0300;X;
E710;1;016B+0301;;X
E710;100;0075+0304+0301;X;
E711;1;016B+0303;;X
E711;100;0075+0304+0303;;X
E712;1;016B+0306;;X
E712;100;0075+0304+0306;;X
E713;1;016B+032F;x;
E713;100;0075+032F+0304;;x
E714;1;0075+0307;x;
E715;1;0075+0307+0301;;X
E716;1;0075+0307+0303;;X
E717;1;0075+0307+0304;;X
E718;1;0075+0307+030F;;X
E719;1;0075+0325+0307+030F;;x
E71A;1;0075+0352;;X
E71B;1;0075+0325+0307;X;
E71C;1;00FC+0302;;x
E71C;100;0075+0308+0302;;X
E71D;1;00FC+030F;;X
E71D;100;0075+0308+030F;;X
E71E;1;00FC+0311;;X
E71E;100;0075+0308+0311;;X
E71F;1;00FC+032F;;x
E71F;100;0075+032F+0308;X;
E720;1;016F+0300;;x
E720;100;0075+030A+0300;;X
E721;1;016F+0301;;X
E721;100;0075+030A+0301;;X
E722;1;0075+030D;x;
E723;1;1E73+030F;;x
E723;100;0075+0324+030F;x;
E724;1;0215+0337;X;
E724;100;0075+0337+030F;;x
E725;1;1E73+0311;x;
E725;100;0075+0324+0311;X;
E726;1;0217+0339;X;
E726;100;0075+0339+0311;X;
E727;1;0217+0337;X;
E727;100;0075+0337+0311;;X
E728;1;0075+0364;x;
E72E;1;0075+0325;X;
E72F;1;0075+032F;X;
E730;1;0075+0331;X;
E731;1;0075+0339;x;
E732;1;0075+0337;X;
E734;1;0075+0335+0327;;X
E735;1;0075+032C;X;
E736;1;00F9+031E;X;
E736;100;0075+031E+0300;x;
E737;1;00FA+031E;X;
E737;100;0075+031E+0301;X;
E738;1;0075+031E;;X
E739;1;0169+032F;;x
E739;100;0075+032F+0303;X;
E73A;1;016D+030D;;X
E73A;100;0075+0306+030D;X;
E73B;1;0173+0308;x;
E73B;100;0075+0328+0308;X;
E73C;1;1E75+0300;X;
E73C;100;0075+0330+0300;X;
E73D;1;1E75+0301;X;
E73D;100;0075+0330+0301;X;
E73E;1;0075+032F+0325;;X
E73F;1;0075+032F+0330;;X
E740;1;016D+030F;;X
E740;100;0075+0306+030F;;x
E741;1;01D4+030F;;X
E741;100;0075+030C+030F;;X
E742;1;028A+0330;;
E743;1;1E75+0303+0300;;X
E743;100;0075+0330+0303+0300;;x
E744;1;1E75+0303+0301;;x
E744;100;0075+0330+0303+0301;;X
E745;1;1E75+0303;X;
E745;100;0075+0330+0303;x;
E746;1;1E75+032F;;x
E746;100;0075+0330+032F;;x
E747;1;0075+0365;x;
E748;1;0075+0366;X;
E749;1;0075+0335+0355;;X
E74A;1;0173+0304+0301;;X
E74A;100;0075+0328+0304+0301;X;
E74B;1;016B+1DC4;;x
E74B;100;0075+0304+1DC4;;X
E74C;1;016F+0304+0301;;X
E74C;100;0075+030A+0304+0301;;X
E74D;1;0075+1DC4;;X
E74E;1;0173+1DC4;;X
E74E;100;0075+0328+1DC4;;X
E74F;1;1EE5+0311;X;
E74F;100;0075+0323+0311;X;
E750;1;00F9+0325;x;
E750;100;0075+0325+0300;;x
E751;1;0075+0327;;X
E753;1;1EE5+0308;x;
E753;100;0075+0323+0308;X;
E754;1;00FC+0331;x;
E754;100;0075+0331+0308;X;
E755;1;1E73+0308;x;
E755;100;0075+0324+0308;x;
E756;1;00FC+0303;;x
E756;100;0075+0308+0303;;X
E757;1;016B+030C;;x
E757;100;0075+0304+030C;;X
E758;1;00FB+0301;;X
