znak;znakRank;komb;je OK;ni OK
E34F;1;0251+0330+0300;X;
E350;1;0251+0330+0301;X;
E351;1;0251+0330;X;
E352;1;0251+0330+0303+0300;;X
E353;1;0251+0330+0303+0301;;X
E354;1;0251+0330+0303;X;
E355;1;0252+0330+0300;X;
E356;1;0252+0330+0301;;x
E357;1;0252+0330;x;
E358;1;0252+0330+0303+0300;;X
E359;1;0252+0330+0303+0301;;X
E35A;1;0252+0330+0303;X;
E35B;1;00E3+0330+0300;;x
E35B;100;0061+0330+0303+0300;;X
E35C;1;00E3+0330+0301;;x
E35C;100;0061+0330+0303+0301;;X
E35D;1;00E3+0330;X;
E35D;100;0061+0330+0303;X;
E35E;1;00E6+0303+0300;;X
E35F;1;00E6+0303+0301;;X
E360;1;00E6+0303;;X
E361;1;0105+0304+0300;X;
E361;100;0061+0328+0304+0300;;x
E362;1;0101+1DC5;;X
E362;100;0061+0304+1DC5;;X
E363;1;0101+1DC4;;X
E363;100;0061+0304+1DC4;;X
E364;1;0101+1DC6;;X
E364;100;0061+0304+1DC6;;X
E365;1;0227+0306;;x
E365;100;0061+0307+0306;;X
E366;1;0105+0307+0306;;X
E366;100;0061+0328+0307+0306;;x
E368;1;0061+1DC5;;X
E369;1;0061+1DC4;;X
E36A;1;0105+1DC4;;X
E36A;100;0061+0328+1DC4;;X
E36B;1;0061+1DC6;;x
E36C;1;00E3+0304;;X
E36C;100;0061+0303+0304;;X
E36E;1;00E6+0311;;X
E370;1;00E0+031D;X;
E370;100;0061+031D+0300;x;
E371;1;00E1+031D;X;
E371;100;0061+031D+0301;X;
E372;1;00E3+031D+0300;;X
E372;100;0061+031D+0303+0300;;X
E373;1;00E3+031D+0301;;X
E373;100;0061+031D+0303+0301;;X
E374;1;00E3+031D;X;
E374;100;0061+031D+0303;X;
E375;1;0061+031D;X;
E376;1;0061+030E;X;
E377;1;0251+0325+0303;X;
E378;1;0251+0304+0301;;X
E379;1;0251+0323+0304;x;
E37A;1;0251+0304;x;
E37B;1;0251+0302;;x
E37C;1;0251+0355;;x
E37F;1;0251+0301;X;
E380;1;0251+0304+0303;;X
E382;1;0061+0313;;x
E383;1;0250+032F;X;
E384;1;0105+0304+0301;;X
E384;100;0061+0328+0304+0301;X;
E385;1;0061+0339;X;
E386;1;0061+0329;x;
E387;1;00E4+0303;;x
E387;100;0061+0308+0303;;X
E388;1;00E5+0304;;X
E388;100;0061+030A+0304;;X
E389;1;00E5+0302;;X
E389;100;0061+030A+0302;;X
E38A;1;00E4+030B;;x
E38A;100;0061+0308+030B;;X
E38B;1;00E4+0306;;X
E38B;100;0061+0308+0306;;x
E38C;1;01CE+0304;;X
E38C;100;0061+030C+0304;;X
E38C;100;0061+030C+0304;;X
E38D;1;0061+032F+0323;X;
E38E;1;0105+0339;;
E38E;100;0061+0328+0339;;X
E38F;1;0105+030A;X;
E38F;100;0061+0328+030A;x;
E390;1;00E1+0339;X;
E390;100;0061+0339+0301;X;
E391;1;00E3+0339;X;
E391;100;0061+0339+0303;;X
E392;1;00E3+032F;x;
E392;100;0061+032F+0303;X;
E393;1;0101+0339;X;
E393;100;0061+0339+0304;x;
E394;1;0105+0304;X;
E394;100;0061+0328+0304;X;
E395;1;00E2+0326;X;
E395;100;0061+0326+0302;X;
E396;1;0105+0302;;
E396;100;0061+0328+0302;x;
E397;1;00E0+0339;X;
E397;100;0061+0339+0300;x;
E398;1;0101+032F;x;
E398;100;0061+032F+0304;X;
E399;1;00E2+030A;;X
E399;100;0061+0302+030A;;X
E39A;1;0061+0339+030B;x;
E39B;1;0105+030B;X;
E39B;100;0061+0328+030B;x;
E39C;1;0201+0339;x;
E39C;100;0061+0339+030F;X;
E39D;1;1EA1+030B;X;
E39D;100;0061+0323+030B;X;
E39E;1;1EA1+030F;x;
E39E;100;0061+0323+030F;x;
E39F;1;0103+0339;X;
E39F;100;0061+0339+0306;X;
E3A0;1;0105+0339+0301;;x
E3A0;100;0061+0328+0339+0301;;X
E3A1;1;01CE+0339;x;
E3A1;100;0061+0339+030C;X;
E3A2;1;1EA1+0307;x;
E3A2;100;0061+0323+0307;x;
E3A4;1;0105+0323+0301;;X
E3A4;100;0061+0328+0323+0301;;X
E3A5;1;0105+0323+0303;;X
E3A5;100;0061+0328+0323+0303;;x
E3A6;1;0105+030A+0303;;X
E3A6;100;0061+0328+030A+0303;;X
E3A7;1;0105+0323+0311;;X
E3A7;100;0061+0328+0323+0311;;x
E3A8;1;0105+030A+0311;X;
E3A8;100;0061+0328+030A+0311;;X
E3A9;1;0105+0339+0311;;x
E3A9;100;0061+0328+0339+0311;X;
E3AA;1;0105+0339+0300;;X
E3AA;100;0061+0328+0339+0300;X;
E3AB;1;0105+0339+0306;;X
E3AB;100;0061+0328+0339+0306;;x
E3AC;1;0105+0323+0306;x;
E3AC;100;0061+0328+0323+0306;;x
E3AD;1;0251+032F+0304;X;
E3AF;1;0061+0314;;x
E3B0;1;0061+032C;X;
E3B1;1;0251+0354;x;
E3B2;1;0061+0324;X;
E3B4;1;1EA1+0308;X;
E3B4;100;0061+0323+0308;X;
E3B5;1;00E4+0331;X;
E3B5;100;0061+0331+0308;;x
E3B6;1;00E4+0324;x;
E3B6;100;0061+0324+0308;;x
E3B7;1;0103+030A;;X
E3B7;100;0061+0306+030A;;x
E3B8;1;0201+0311;;X
E3B8;100;0061+030F+0311;;X
E3B9;1;0203+0339;X;
E3B9;100;0061+0339+0311;X;
E3BA;1;00E5+032F;X;
E3BA;100;0061+032F+030A;x;
E3BB;1;0061+0363;X;
E3BC;1;0061+0365;x;
E3BD;1;0061+0366;;
E3BE;1;0061+0367;X;
E3BF;1;0061+036E;x;
E3C1;1;0250+0304+0303;;X
E3C2;1;0101+0311;;X
E3C2;100;0061+0304+0311;X;
E3C3;1;028C+0301;X;
E3C4;1;0101+0302;;x
E3C4;100;0061+0304+0302;;X
E3C5;1;028C+030D;X;
E3C7;1;0105+0308+0304;;X
E3C7;100;0061+0328+0308+0304;;x
E3C8;1;0105+0308+0306;;X
E3C8;100;0061+0328+0308+0306;;X
E3C9;1;01E3+0303;;X
E3C9;100;00E6+0304+0303;;X
E3CA;1;01E3+0301;;X
E3CA;100;00E6+0304+0301;;X
E3CB;1;01E3+0302;;X
E3CB;100;00E6+0304+0302;;x
E3CD;1;01E3+0311;;X
E3CD;100;00E6+0304+0311;;x
E3CE;1;00E6+0306+030D;;X
E3CF;1;028C+0304+0303;;x
E3D0;1;028C+0304+0300;;x
E3D1;1;028C+0304+0301;;X
E3D2;1;028C+0304+0302;;x
E3D4;1;028C+0304+0311;;x
E3D5;1;028C+0306+030D;X;
E3D6;1;01E3+0300;;X
E3D6;100;00E6+0304+0300;X;
E3D7;1;00E4+030C;;X
E3D7;100;0061+0308+030C;;x
E3D8;1;00E5+0304+0301;;x
E3D8;100;0061+030A+0304+0301;;X
E3D9;1;0101+0303+0301;;X
E3D9;100;0061+0304+0303+0301;;X
E3DA;1;0250+0306;x;
E3DB;1;0105+0306+0301;;X
E3DB;100;0061+0328+0306+0301;;X
E3DC;1;00E1+0324;X;
E3DC;100;0061+0324+0301;x;
E3DD;1;0252+0300;X;
E3DE;1;0251+0323+0303;x;
E3DF;1;0251+0323;X;
E3E0;1;1E00+0301;;X
